query,sra_uid,run,bioproject,study_acc,study_name,biosample,title,organism,strategy,selection,source,total_bases,total_spots,experiment_size_gb,is_public,static_data_available,download
dlbcl_human_wgs,37844146,SRR32860424,PRJNA1240896,SRP573127,SNHG29 Interacts with CYLD via Mitochondrial Ribosomal Proteins to Reverse Rituximab Resistance in DLBCL,SAMN47575482,ATAC-Seq of B-lymphoma cell line,Homo sapiens,ATAC-seq,other,GENOMIC,26459027700,88196759,8.292,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR32860424
dlbcl_human_wgs,37844145,SRR32860425,PRJNA1240896,SRP573127,SNHG29 Interacts with CYLD via Mitochondrial Ribosomal Proteins to Reverse Rituximab Resistance in DLBCL,SAMN47575483,ATAC-Seq of B-lymphoma cell line,Homo sapiens,ATAC-seq,other,GENOMIC,23440925100,78136417,7.559,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR32860425
dlbcl_human_wgs,37825185,SRR32842146,PRJNA1240915,SRP572814,SNHG29 Interacts with CYLD via Mitochondrial Ribosomal Proteins to Reverse Rituximab Resistance in DLBCL,SAMN47543547,D,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,6621923100,22073077,2.134,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR32842146
dlbcl_human_wgs,37825184,SRR32842147,PRJNA1240915,SRP572814,SNHG29 Interacts with CYLD via Mitochondrial Ribosomal Proteins to Reverse Rituximab Resistance in DLBCL,SAMN47543546,C,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,6388249800,21294166,2.074,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR32842147
dlbcl_human_wgs,37825183,SRR32842148,PRJNA1240915,SRP572814,SNHG29 Interacts with CYLD via Mitochondrial Ribosomal Proteins to Reverse Rituximab Resistance in DLBCL,SAMN47543545,B,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,6071045100,20236817,1.928,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR32842148
dlbcl_human_wgs,37825182,SRR32842149,PRJNA1240915,SRP572814,SNHG29 Interacts with CYLD via Mitochondrial Ribosomal Proteins to Reverse Rituximab Resistance in DLBCL,SAMN47543544,A,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,6494806800,21649356,2.08,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR32842149
dlbcl_human_wgs,30100867,SRR26443791,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886139,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,2129354518,10541359,0.718,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443791
dlbcl_human_wgs,30100866,SRR26443792,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886138,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,1902078056,9416228,0.646,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443792
dlbcl_human_wgs,30100865,SRR26443793,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886137,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,1792935840,8875920,0.609,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443793
dlbcl_human_wgs,30100864,SRR26443794,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886136,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,1806280970,8941985,0.623,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443794
dlbcl_human_wgs,30100863,SRR26443795,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886135,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,1962357078,9714639,0.677,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443795
dlbcl_human_wgs,30100862,SRR26443796,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886134,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,2052605830,10161415,0.693,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443796
dlbcl_human_wgs,30100861,SRR26443797,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886133,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,1813961414,8980007,0.611,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443797
dlbcl_human_wgs,30100860,SRR26443798,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886153,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,7405536861,27542615,2.495,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443798
dlbcl_human_wgs,30100859,SRR26443799,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886152,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,7073957671,25547118,2.582,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443799
dlbcl_human_wgs,30100858,SRR26443800,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886151,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,6832880746,24390067,2.304,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443800
dlbcl_human_wgs,30100857,SRR26443801,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886150,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,7594907163,27332938,2.545,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443801
dlbcl_human_wgs,30100856,SRR26443802,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886132,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,2115159170,10471085,0.727,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443802
dlbcl_human_wgs,30100855,SRR26443803,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886149,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,3160145983,15863804,1.032,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443803
dlbcl_human_wgs,30100854,SRR26443804,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886148,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,2771658858,13930581,0.888,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443804
dlbcl_human_wgs,30100853,SRR26443805,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886147,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,7259331441,26095366,2.399,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443805
dlbcl_human_wgs,30100852,SRR26443806,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886146,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,7903693051,28308165,2.698,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443806
dlbcl_human_wgs,30100851,SRR26443807,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886145,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,2004386206,10098800,0.649,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443807
dlbcl_human_wgs,30100850,SRR26443808,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886144,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,2645897323,13336778,0.869,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443808
dlbcl_human_wgs,30100849,SRR26443809,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886143,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,6865821207,24483180,2.31,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443809
dlbcl_human_wgs,30100848,SRR26443810,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886142,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,2812737424,14195637,0.912,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443810
dlbcl_human_wgs,30100847,SRR26443811,PRJNA1029929,SRP467399,Homo sapiens Raw sequence reads,SAMN37886141,Antitumor efficacy of sequence specific DNA-targeted gamma PNA based cMyc inhibitor,Homo sapiens,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,5044566470,18460778,1.688,true,true,https://trace.ncbi.nlm.nih.gov/Traces/sra-reads-be/fastq?acc=SRR26443811
