cohort	cohort_label	sample	species	deduplicated_reads
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL219-C1_S05	HTLV1	81039
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL219-C1_S05	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL219-C1_S05	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL219-C1_S05	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL219-C1_S05	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL245-C1_S01	HTLV1	52351
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL245-C1_S01	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL245-C1_S01	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL245-C1_S01	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL245-C1_S01	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL201-C1_S07	HTLV1	51462
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL201-C1_S07	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL201-C1_S07	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL201-C1_S07	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL201-C1_S07	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL218-C1_S05	HTLV1	49811
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL218-C1_S05	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL218-C1_S05	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL218-C1_S05	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL218-C1_S05	HERV	0
