cohort	cohort_label	sample	species	deduplicated_reads
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL219-C1_S05	HTLV1	218993
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL219-C1_S05	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL219-C1_S05	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL219-C1_S05	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL219-C1_S05	HERV	9642
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL205-C1_S03	HTLV1	191596
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL205-C1_S03	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL205-C1_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL205-C1_S03	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL205-C1_S03	HERV	6916
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL245-C1_S01	HTLV1	181928
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL245-C1_S01	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL245-C1_S01	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL245-C1_S01	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL245-C1_S01	HERV	19129
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL224-C1_S03	HTLV1	169029
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL224-C1_S03	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL224-C1_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL224-C1_S03	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL224-C1_S03	HERV	7786
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL201-C1_S07	HTLV1	152843
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL201-C1_S07	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL201-C1_S07	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL201-C1_S07	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL201-C1_S07	HERV	6032
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C1_S08	HTLV1	141610
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C1_S08	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C1_S08	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C1_S08	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C1_S08	HERV	7174
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL218-C1_S05	HTLV1	138130
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL218-C1_S05	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL218-C1_S05	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL218-C1_S05	HIV2	0
